respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
7315,Graduate,4,Video lectures,Low motivation,High,Online learning is effective for theory-based subjects,Mobile
7316,Postgraduate,2,Practice exercises,Lack of concentration,High,Blended learning is more effective than fully online,Tablet
7317,Graduate,1,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
7318,Undergraduate,2,Interactive discussion,Difficulty understanding concepts,High,Online learning is flexible and convenient,Tablet
7319,Postgraduate,3,Practice exercises,Internet connectivity issues,High,Online learning is flexible and convenient,Mobile
7320,Undergraduate,3,Interactive discussion,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Tablet
7321,Undergraduate,5,Practice exercises,Time management difficulty,Low,Blended learning is more effective than fully online,Mobile
7322,Postgraduate,4,Practice exercises,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Laptop
7323,Graduate,1,Practice exercises,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
7324,Undergraduate,5,Recorded tutorials,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Mobile
7325,Postgraduate,3,Practice exercises,Low motivation,High,Online platforms provide access to diverse resources,Laptop
7326,Postgraduate,4,Interactive discussion,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Laptop
7327,Postgraduate,2,Recorded tutorials,Academic workload pressure,Low,Online platforms provide access to diverse resources,Mobile
7328,Undergraduate,6,Practice exercises,Lack of concentration,Low,Online learning is flexible and convenient,Laptop
7329,Undergraduate,5,Recorded tutorials,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
7330,Graduate,6,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Tablet
7331,Undergraduate,3,Interactive discussion,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
7332,Graduate,2,Practice exercises,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Mobile
7333,Graduate,5,Reading notes,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop
7334,Postgraduate,3,Interactive discussion,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
7335,Graduate,6,Practice exercises,Academic workload pressure,Low,Online platforms provide access to diverse resources,Tablet
7336,Undergraduate,5,Reading notes,Low motivation,High,Online platforms provide access to diverse resources,Mobile
7337,Postgraduate,1,Interactive discussion,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
7338,Postgraduate,6,Interactive discussion,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Tablet
7339,Undergraduate,2,Practice exercises,Time management difficulty,Low,Online learning is flexible and convenient,Mobile
7340,Postgraduate,5,Video lectures,Lack of concentration,High,Blended learning is more effective than fully online,Tablet
7341,Postgraduate,3,Reading notes,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Mobile
7342,Undergraduate,4,Video lectures,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
7343,Postgraduate,2,Recorded tutorials,Lack of concentration,Low,Online learning is flexible and convenient,Laptop
7344,Undergraduate,4,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Laptop
7345,Undergraduate,2,Video lectures,Academic workload pressure,Medium,Online learning is flexible and convenient,Tablet
7346,Postgraduate,4,Reading notes,Academic workload pressure,Low,Online learning requires strong self-discipline,Laptop
7347,Undergraduate,4,Video lectures,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Laptop
7348,Postgraduate,6,Interactive discussion,Lack of concentration,High,Online learning requires strong self-discipline,Laptop
7349,Graduate,6,Video lectures,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
7350,Undergraduate,2,Video lectures,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop
7351,Undergraduate,6,Interactive discussion,Time management difficulty,Low,Online learning requires strong self-discipline,Laptop
7352,Graduate,2,Practice exercises,Time management difficulty,High,Online learning is effective for theory-based subjects,Mobile
7353,Undergraduate,5,Video lectures,Academic workload pressure,Medium,Online learning is flexible and convenient,Mobile
7354,Graduate,6,Reading notes,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Tablet
7355,Undergraduate,1,Recorded tutorials,Academic workload pressure,Medium,Online learning requires strong self-discipline,Tablet
7356,Graduate,4,Practice exercises,Academic workload pressure,High,Online learning is flexible and convenient,Tablet
7357,Postgraduate,2,Recorded tutorials,Lack of concentration,Medium,Online learning requires strong self-discipline,Tablet
7358,Graduate,5,Interactive discussion,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Laptop
7359,Graduate,2,Video lectures,Academic workload pressure,Low,Online platforms provide access to diverse resources,Tablet
7360,Graduate,4,Recorded tutorials,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Tablet
7361,Postgraduate,1,Interactive discussion,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Laptop
7362,Postgraduate,5,Video lectures,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Mobile
7363,Graduate,4,Practice exercises,Low motivation,Low,Online learning is flexible and convenient,Mobile
7364,Postgraduate,4,Recorded tutorials,Lack of concentration,Low,Blended learning is more effective than fully online,Laptop
7365,Graduate,4,Video lectures,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
7366,Postgraduate,3,Recorded tutorials,Low motivation,Low,Online platforms provide access to diverse resources,Laptop
7367,Undergraduate,1,Practice exercises,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
7368,Undergraduate,5,Reading notes,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop
7369,Graduate,2,Video lectures,Low motivation,Low,Online platforms provide access to diverse resources,Mobile
7370,Undergraduate,1,Video lectures,Internet connectivity issues,Low,Online learning is flexible and convenient,Mobile
7371,Postgraduate,3,Reading notes,Time management difficulty,Low,Online platforms provide access to diverse resources,Tablet
7372,Postgraduate,3,Video lectures,Time management difficulty,High,Online learning requires strong self-discipline,Mobile
7373,Undergraduate,2,Recorded tutorials,Time management difficulty,High,Blended learning is more effective than fully online,Laptop
7374,Undergraduate,6,Recorded tutorials,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Laptop
7375,Undergraduate,4,Interactive discussion,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Tablet
7376,Undergraduate,4,Video lectures,Time management difficulty,Medium,Blended learning is more effective than fully online,Tablet
7377,Postgraduate,1,Recorded tutorials,Time management difficulty,Low,Online learning is effective for theory-based subjects,Laptop
7378,Postgraduate,2,Interactive discussion,Difficulty understanding concepts,High,Online learning is flexible and convenient,Laptop
7379,Postgraduate,1,Recorded tutorials,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Mobile
7380,Graduate,4,Video lectures,Academic workload pressure,High,Blended learning is more effective than fully online,Mobile
7381,Postgraduate,1,Video lectures,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Mobile
7382,Undergraduate,5,Reading notes,Low motivation,Medium,Online learning requires strong self-discipline,Tablet
7383,Postgraduate,2,Practice exercises,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Tablet
7384,Postgraduate,5,Practice exercises,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Mobile
7385,Postgraduate,3,Interactive discussion,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet
7386,Postgraduate,6,Practice exercises,Low motivation,Low,Online learning is flexible and convenient,Tablet
7387,Undergraduate,4,Recorded tutorials,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Mobile
7388,Postgraduate,6,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
7389,Undergraduate,4,Reading notes,Time management difficulty,Medium,Blended learning is more effective than fully online,Mobile
7390,Graduate,1,Practice exercises,Academic workload pressure,High,Online platforms provide access to diverse resources,Laptop
7391,Postgraduate,4,Recorded tutorials,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Tablet
7392,Postgraduate,6,Recorded tutorials,Low motivation,Low,Online learning requires strong self-discipline,Mobile
7393,Undergraduate,6,Practice exercises,Time management difficulty,Medium,Online learning requires strong self-discipline,Mobile
7394,Undergraduate,5,Recorded tutorials,Low motivation,High,Blended learning is more effective than fully online,Tablet
